

Reference
Number     Year    Variable Description                                                        Question Name          
R67387.00  2000    RS SPOUSE'S OCCUPATION IN 1999?                                             OCCSP-55I_CODE         
R67498.00  2000    HOURS PER WEEK WORKED DURING WEEKS WORKED BY SPOUSE/PARTNER IN 1999         Q2-15B                 
R68396.00  2000    NUMBER OF BIOLOGICAL CHILDREN REPORTED                                      Q10-2                  
R69097.01  2000    TOTAL INCOME FROM WAGES AND SALARY IN PAST CALENDAR YEAR (TRUNC) (REVISED)  Q13-5_TRUNC_REVISED    
R70064.00  2000    FAMILY SIZE                                                                 FAMSIZE                
R70065.00  2000    TOTAL NET FAMILY INCOME IN PAST CALENDAR YEAR *KEY* (TRUNCATED)             TNFI_TRUNC             
R70066.00  2000    FAMILY POVERTY STATUS IN 1999                                               POVSTATUS              
R70069.00  2000    MARITAL STATUS (COLLAPSED)                                                  MARSTAT-COL            
R70070.00  2000    MARITAL STATUS                                                              MARSTAT-KEY            
R99097.00  XRND    ABSOLUTE VALUE OF MONTHS BETWEEN 1ST MARRIAGE & 1ST BIRTH                   MO1M1B                 
T21840.00  2008    POLITICAL PARTY AFFILIATION                                                 ATT-POL-78             
T21843.00  2008    R FOLLOWS WHAT'S GOING ON IN POLITICS                                       ATT-POL-79             
T32069.01  2012    DATE OF BIRTH OF PARTNER                                                    Q2-10B~Y               
T33082.00  2012    TYPE OF BUSINESS OR INDUSTRY (CENSUS 3 DIGIT, 00 CODES) (ALL) JOB #01       INDALL-EMP.01          
T33087.00  2012    OCCUPATION (CENSUS 3 DIGIT, 00 CODES) (ALL) JOB #01                         OCCALL-EMP.01          
T34954.00  2012    RS SPOUSE'S OCCUPATION IN 2011? (2000 CENSUS 3 DIGIT)                       OCCSP-55I_CODE         
T35065.00  2012    NUMBER OF WEEKS WORKED BY SPOUSE/PARTNER IN 2011                            Q2-15A                 
T39764.00  2012    NUMBER OF DRINKS RESPONDENT HAS ON AVERAGE DAY                              Q12-6                  
T39774.00  2012    TOTAL INCOME FROM WAGES AND SALARY IN PAST CALENDAR YEAR  (TRUNC)           Q13-5_TRUNC            
T39775.00  2012    ESTIMATED INCOME FROM WAGES AND SALARY IN PAST CALENDAR YEAR (ORIG)         Q13-5_SR000001         
T39776.00  2012    ESTIMATED INCOME FROM WAGES AND SALARY IN PAST CALENDAR YEAR (ORIG)         Q13-5_SR000002         
T39876.00  2012    TOTAL INCOME OF SPOUSE FROM WAGES AND SALARY IN PAST CALENDAR YEAR (TRUNC)  Q13-18_TRUNC           
T39878.00  2012    EST.  INCOME OF SPOUSE FROM WAGES AND SALARY IN PAST CALENDAR YEAR (TRUNC)  Q13-18_SR000001_TRUNC  
T41122.00  2012    FAMILY SIZE                                                                 FAMSIZE                
T41127.00  2012    REGION OF CURRENT RESIDENCE                                                 REGION                 
T41130.00  2012    HIGHEST GRADE COMPLETED AS OF MAY 1 SURVEY YEAR                             HGC                    
T41146.00  2012    IS R'S CURRENT RESIDENCE URBAN/RURAL?                                       URBAN-RURAL            
T41149.00  2012    NUMBER OF DIFFERENT JOBS EVER REPORTED AS OF INTERVIEW DATE                 JOBSNUM                
